OrderID,OrderDate,CustomerID,CustomerName,City,Product,Category,Quantity,UnitPrice,PaymentMethod
1000,2024-11-23,C128,Customer_7,Chennai,Shoes,Fashion,2,1871,UPI
1001,2024-12-12,C289,Customer_140,Delhi,Jeans,Fashion,4,2016,UPI
1002,2024-02-17,C155,Customer_60,Mumbai,Camera,Electronics,2,40166,Wallet
1003,2024-08-02,C156,Customer_115,Chennai,Laptop,Electronics,2,55157,NetBanking
1004,2024-06-23,C171,Customer_40,Hyderabad,Watch,Accessories,1,2847,NetBanking
1005,2024-02-19,C191,Customer_89,Chennai,Laptop,Electronics,4,55074,UPI
1006,2024-07-12,C120,Customer_142,Chennai,Jeans,Fashion,3,2295,Card
1007,2024-12-26,C117,Customer_12,Hyderabad,T-shirt,Fashion,1,719,UPI
1008,2024-07-13,C171,Customer_117,Pune,Headphones,Electronics,3,1481,Card
1009,2024-12-09,C168,Customer_180,Delhi,Jeans,Fashion,2,2273,Card
1010,2024-03-24,C218,Customer_98,Chennai,Camera,Electronics,2,40150,COD
1011,2024-01-29,C158,Customer_9,Pune,Backpack,Accessories,3,1033,Card
1012,2024-10-17,C283,Customer_81,Hyderabad,Tablet,Electronics,4,18129,NetBanking
1013,2024-03-14,C167,Customer_36,Hyderabad,Camera,Electronics,5,39934,Wallet
1014,2024-08-07,C249,Customer_103,Pune,Shoes,Fashion,2,2060,NetBanking
1015,2024-02-16,C293,Customer_13,Delhi,Headphones,Electronics,2,1648,NetBanking
1016,2024-11-01,C116,Customer_99,Kolkata,Jeans,Fashion,4,2270,COD
1017,2024-10-10,C102,Customer_175,Delhi,Camera,Electronics,3,40193,COD
1018,2024-02-27,C175,Customer_112,Bangalore,Tablet,Electronics,1,18169,COD
1019,2024-09-13,C295,Customer_46,Delhi,T-shirt,Fashion,5,911,Card
1020,2024-03-19,C195,Customer_196,Bangalore,Camera,Electronics,5,39800,Wallet
1021,2024-06-14,C225,Customer_5,Delhi,Watch,Accessories,3,2922,UPI
1022,2024-05-03,C245,Customer_21,Delhi,Tablet,Electronics,1,18189,Wallet
1023,2024-03-05,C132,Customer_169,Ahmedabad,Camera,Electronics,2,39935,Wallet
1024,2024-11-06,C208,Customer_55,Hyderabad,T-shirt,Fashion,4,943,COD
1025,2024-08-12,C232,Customer_116,Delhi,Shoes,Fashion,2,1832,COD
1026,2024-01-11,C250,Customer_142,Hyderabad,Jeans,Fashion,2,2003,UPI
1027,2024-12-28,C261,Customer_16,Hyderabad,Smartphone,Electronics,1,24969,UPI
1028,2024-09-20,C160,Customer_72,Ahmedabad,Shoes,Fashion,5,1867,Wallet
1029,2024-10-22,C221,Customer_63,Ahmedabad,Backpack,Accessories,2,1048,UPI
1030,2024-12-03,C210,Customer_91,Kolkata,Backpack,Accessories,4,1373,UPI
1031,2024-12-10,C267,Customer_166,Delhi,Laptop,Electronics,4,55172,COD
1032,2024-02-25,C163,Customer_50,Hyderabad,Camera,Electronics,4,39871,NetBanking
1033,2024-04-03,C171,Customer_119,Hyderabad,Smartphone,Electronics,4,25081,UPI
1034,2024-01-26,C266,Customer_139,Mumbai,Smartphone,Electronics,2,24885,NetBanking
1035,2024-09-05,C223,Customer_55,Kolkata,Laptop,Electronics,2,54994,UPI
1036,2024-07-18,C167,Customer_117,Chennai,Backpack,Accessories,5,1338,NetBanking
1037,2024-03-20,C148,Customer_76,Hyderabad,Laptop,Electronics,5,55176,Wallet
1038,2024-02-01,C291,Customer_81,Mumbai,Laptop,Electronics,5,55044,Wallet
1039,2024-09-28,C140,Customer_15,Delhi,Headphones,Electronics,1,1604,UPI
1040,2024-12-11,C160,Customer_104,Delhi,Jeans,Fashion,2,2296,Wallet
1041,2024-01-21,C258,Customer_21,Kolkata,Jeans,Fashion,5,2267,COD
1042,2024-05-13,C152,Customer_172,Pune,Shoes,Fashion,3,2002,Card
1043,2024-12-09,C265,Customer_77,Ahmedabad,Watch,Accessories,1,2804,NetBanking
1044,2024-11-14,C244,Customer_26,Delhi,Camera,Electronics,2,40059,COD
1045,2024-03-08,C189,Customer_18,Hyderabad,Watch,Accessories,3,2880,NetBanking
1046,2024-10-05,C280,Customer_78,Mumbai,Camera,Electronics,3,40139,UPI
1047,2024-03-09,C167,Customer_30,Delhi,Camera,Electronics,2,39939,COD
1048,2024-11-05,C153,Customer_184,Pune,Shoes,Fashion,3,2058,NetBanking
1049,2024-05-08,C113,Customer_24,Kolkata,T-shirt,Fashion,1,601,COD
1050,2024-03-07,C263,Customer_68,Bangalore,Tablet,Electronics,5,18161,NetBanking
1051,2024-10-14,C102,Customer_29,Delhi,Headphones,Electronics,5,1318,COD
1052,2024-10-25,C241,Customer_38,Kolkata,Headphones,Electronics,1,1457,COD
1053,2024-01-21,C191,Customer_54,Hyderabad,Smartphone,Electronics,3,25199,Wallet
1054,2024-07-27,C258,Customer_192,Bangalore,Shoes,Fashion,2,1890,NetBanking
1055,2024-01-13,C145,Customer_189,Pune,Backpack,Accessories,2,1136,Card
1056,2024-12-25,C127,Customer_98,Mumbai,Tablet,Electronics,2,17902,NetBanking
1057,2024-06-28,C178,Customer_59,Hyderabad,Laptop,Electronics,2,55004,COD
1058,2024-05-22,C117,Customer_198,Chennai,Watch,Accessories,5,3004,Wallet
1059,2024-06-18,C107,Customer_30,Chennai,Headphones,Electronics,5,1435,UPI
1060,2024-02-25,C252,Customer_112,Pune,Watch,Accessories,4,3110,Wallet
1061,2024-02-29,C198,Customer_148,Hyderabad,T-shirt,Fashion,1,962,NetBanking
1062,2024-01-01,C233,Customer_138,Hyderabad,Watch,Accessories,4,2835,COD
1063,2024-11-15,C180,Customer_170,Delhi,T-shirt,Fashion,5,758,NetBanking
1064,2024-06-16,C203,Customer_179,Chennai,Camera,Electronics,2,39898,NetBanking
1065,2024-12-06,C197,Customer_174,Bangalore,Jeans,Fashion,5,2154,NetBanking
1066,2024-10-07,C100,Customer_78,Chennai,Shoes,Fashion,4,2096,Wallet
1067,2024-12-01,C182,Customer_120,Ahmedabad,Tablet,Electronics,2,18061,NetBanking
1068,2024-03-27,C268,Customer_22,Chennai,Camera,Electronics,5,39971,UPI
1069,2024-04-30,C272,Customer_80,Hyderabad,Shoes,Fashion,2,1812,UPI
1070,2024-05-05,C221,Customer_157,Delhi,Tablet,Electronics,4,18122,Wallet
1071,2024-04-09,C283,Customer_179,Kolkata,Tablet,Electronics,4,17924,Card
1072,2024-12-01,C276,Customer_2,Delhi,Backpack,Accessories,2,1090,Wallet
1073,2024-08-25,C112,Customer_143,Hyderabad,Smartphone,Electronics,4,24868,NetBanking
1074,2024-12-07,C235,Customer_144,Pune,Tablet,Electronics,5,18168,Wallet
1075,2024-08-06,C240,Customer_115,Bangalore,Tablet,Electronics,4,17932,Card
1076,2024-11-22,C170,Customer_197,Ahmedabad,Shoes,Fashion,3,2025,UPI
1077,2024-05-26,C160,Customer_70,Pune,Watch,Accessories,5,2841,Card
1078,2024-03-18,C159,Customer_99,Bangalore,Shoes,Fashion,1,2012,NetBanking
1079,2024-06-18,C238,Customer_120,Kolkata,Laptop,Electronics,2,55015,NetBanking
1080,2024-10-26,C278,Customer_6,Kolkata,Tablet,Electronics,1,17980,COD
1081,2024-07-18,C207,Customer_138,Hyderabad,Tablet,Electronics,2,17939,NetBanking
1082,2024-09-05,C107,Customer_100,Pune,Backpack,Accessories,2,1239,Card
1083,2024-11-14,C236,Customer_7,Kolkata,Jeans,Fashion,5,2339,UPI
1084,2024-02-12,C264,Customer_110,Bangalore,Tablet,Electronics,2,17825,COD
1085,2024-07-13,C183,Customer_55,Ahmedabad,Watch,Accessories,3,3189,NetBanking
1086,2024-05-22,C292,Customer_108,Chennai,Smartphone,Electronics,4,24809,Wallet
1087,2024-01-27,C189,Customer_58,Delhi,Laptop,Electronics,1,54926,Card
1088,2024-01-11,C259,Customer_40,Hyderabad,Headphones,Electronics,4,1642,UPI
1089,2024-10-15,C155,Customer_120,Chennai,Watch,Accessories,2,3110,Wallet
1090,2024-02-28,C299,Customer_42,Chennai,Smartphone,Electronics,5,24813,COD
1091,2024-10-21,C273,Customer_97,Kolkata,Shoes,Fashion,1,2103,Card
1092,2024-02-22,C278,Customer_198,Chennai,Jeans,Fashion,1,2289,UPI
1093,2024-06-26,C236,Customer_110,Pune,Smartphone,Electronics,5,25131,COD
1094,2024-01-07,C207,Customer_126,Delhi,Backpack,Accessories,3,1325,NetBanking
1095,2024-12-28,C139,Customer_112,Bangalore,Camera,Electronics,3,40115,Wallet
1096,2024-09-04,C219,Customer_112,Chennai,Watch,Accessories,2,2844,COD
1097,2024-08-18,C162,Customer_193,Ahmedabad,Jeans,Fashion,5,2342,NetBanking
1098,2024-06-21,C107,Customer_127,Pune,Headphones,Electronics,4,1408,COD
1099,2024-05-12,C187,Customer_72,Chennai,Camera,Electronics,1,40064,Card
